REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2016/03/22 04:30:00",6359.17,47.78,TRADE
NSW1,"2016/03/22 05:00:00",6642.64,59.21,TRADE
NSW1,"2016/03/22 05:30:00",7210.68,58.99,TRADE
NSW1,"2016/03/22 06:00:00",7745.65,56.48,TRADE
NSW1,"2016/03/22 06:30:00",8114.99,52.1,TRADE
NSW1,"2016/03/22 07:00:00",8327.4,155.4,TRADE
NSW1,"2016/03/22 07:30:00",8415.44,43.63,TRADE
NSW1,"2016/03/22 08:00:00",8300.9,37.82,TRADE
NSW1,"2016/03/22 08:30:00",8322.09,38.82,TRADE
NSW1,"2016/03/22 09:00:00",8289.13,36.37,TRADE
NSW1,"2016/03/22 09:30:00",8235.29,44.14,TRADE
NSW1,"2016/03/22 10:00:00",8183.55,36.6,TRADE
NSW1,"2016/03/22 10:30:00",8202.1,46.7,TRADE
NSW1,"2016/03/22 11:00:00",8181.27,68.64,TRADE
NSW1,"2016/03/22 11:30:00",8166.05,55.42,TRADE
NSW1,"2016/03/22 12:00:00",8143.82,53.97,TRADE
NSW1,"2016/03/22 12:30:00",8214.83,66.09,TRADE
NSW1,"2016/03/22 13:00:00",8205.63,49.28,TRADE
NSW1,"2016/03/22 13:30:00",8199.33,49.78,TRADE
NSW1,"2016/03/22 14:00:00",8221.74,57.3,TRADE
NSW1,"2016/03/22 14:30:00",8188.02,53.2,TRADE
NSW1,"2016/03/22 15:00:00",8264.23,55.96,TRADE
NSW1,"2016/03/22 15:30:00",8281.5,89.59,TRADE
NSW1,"2016/03/22 16:00:00",8329.32,65.49,TRADE
NSW1,"2016/03/22 16:30:00",8423.38,53.1,TRADE
NSW1,"2016/03/22 17:00:00",8493.4,85.1,TRADE
NSW1,"2016/03/22 17:30:00",8409.86,76.47,TRADE
NSW1,"2016/03/22 18:00:00",8454.86,69.42,TRADE
NSW1,"2016/03/22 18:30:00",8458.76,61.92,TRADE
NSW1,"2016/03/22 19:00:00",8517.17,208.96,TRADE
NSW1,"2016/03/22 19:30:00",8355.1,49.3,TRADE
NSW1,"2016/03/22 20:00:00",8115.58,42.64,TRADE
NSW1,"2016/03/22 20:30:00",7950.84,68.21,TRADE
NSW1,"2016/03/22 21:00:00",7706.55,51.79,TRADE
NSW1,"2016/03/22 21:30:00",7646.8,34.71,TRADE
NSW1,"2016/03/22 22:00:00",7520.5,34.07,TRADE
NSW1,"2016/03/22 22:30:00",7514.29,68.25,TRADE
NSW1,"2016/03/22 23:00:00",7393.08,36.9,TRADE
NSW1,"2016/03/22 23:30:00",7322.7,55.37,TRADE
NSW1,"2016/03/23 00:00:00",7246.94,61.06,TRADE
NSW1,"2016/03/23 00:30:00",7119.02,38.06,TRADE
NSW1,"2016/03/23 01:00:00",6918.74,35.4,TRADE
NSW1,"2016/03/23 01:30:00",6634.04,34.81,TRADE
NSW1,"2016/03/23 02:00:00",6299.21,38.44,TRADE
NSW1,"2016/03/23 02:30:00",6067.74,34.85,TRADE
NSW1,"2016/03/23 03:00:00",5734.52,29.84,TRADE
NSW1,"2016/03/23 03:30:00",6027.27,33.99,TRADE
NSW1,"2016/03/23 04:00:00",6123.35,33.56,TRADE
NSW1,"2016/03/23 04:30:00",6135.59,31,PD
NSW1,"2016/03/23 05:00:00",6417.54,31,PD
NSW1,"2016/03/23 05:30:00",6955.59,34.01,PD
NSW1,"2016/03/23 06:00:00",7459.49,33.75408,PD
NSW1,"2016/03/23 06:30:00",7852.78,33.97533,PD
NSW1,"2016/03/23 07:00:00",8174.32,47.77,PD
NSW1,"2016/03/23 07:30:00",8266.42,46.733,PD
NSW1,"2016/03/23 08:00:00",8239.19,46.20953,PD
NSW1,"2016/03/23 08:30:00",8282.61,44.4637,PD
NSW1,"2016/03/23 09:00:00",8286.78,44.79114,PD
NSW1,"2016/03/23 09:30:00",8254.28,41.95,PD
NSW1,"2016/03/23 10:00:00",8225.98,41.95,PD
NSW1,"2016/03/23 10:30:00",8224.81,41.95,PD
NSW1,"2016/03/23 11:00:00",8234.31,45.39455,PD
NSW1,"2016/03/23 11:30:00",8189.4,41.95,PD
NSW1,"2016/03/23 12:00:00",8209.13,42.13904,PD
NSW1,"2016/03/23 12:30:00",8226.36,34.03,PD
NSW1,"2016/03/23 13:00:00",8282.41,34.03,PD
NSW1,"2016/03/23 13:30:00",8402.89,34.66014,PD
NSW1,"2016/03/23 14:00:00",8455.91,34.88862,PD
NSW1,"2016/03/23 14:30:00",8545.06,35.45751,PD
NSW1,"2016/03/23 15:00:00",8668.41,36.86191,PD
NSW1,"2016/03/23 15:30:00",8772.63,39.81,PD
NSW1,"2016/03/23 16:00:00",8860.02,39.81,PD
NSW1,"2016/03/23 16:30:00",8834.3,53.6401,PD
NSW1,"2016/03/23 17:00:00",8844.56,62.95,PD
NSW1,"2016/03/23 17:30:00",8813.5,62.95,PD
NSW1,"2016/03/23 18:00:00",8793.21,62.95,PD
NSW1,"2016/03/23 18:30:00",8720.62,47.77013,PD
NSW1,"2016/03/23 19:00:00",8734.71,47.77013,PD
NSW1,"2016/03/23 19:30:00",8508.46,47.77016,PD
NSW1,"2016/03/23 20:00:00",8286.08,47.77015,PD
NSW1,"2016/03/23 20:30:00",7967,46.2514,PD
NSW1,"2016/03/23 21:00:00",7697.71,40.81951,PD
NSW1,"2016/03/23 21:30:00",7663.91,39.70466,PD
NSW1,"2016/03/23 22:00:00",7534.35,34.03014,PD
NSW1,"2016/03/23 22:30:00",7528.41,41.95,PD
NSW1,"2016/03/23 23:00:00",7356.23,39.37736,PD
NSW1,"2016/03/23 23:30:00",7226.21,41.81,PD
NSW1,"2016/03/24 00:00:00",7100.95,39.49879,PD
NSW1,"2016/03/24 00:30:00",6951.33,41.81,PD
NSW1,"2016/03/24 01:00:00",6746.41,38.94004,PD
NSW1,"2016/03/24 01:30:00",6490.59,33.91,PD
NSW1,"2016/03/24 02:00:00",6255.15,34.01,PD
NSW1,"2016/03/24 02:30:00",6101.07,31.03005,PD
NSW1,"2016/03/24 03:00:00",6011.41,31.03005,PD
NSW1,"2016/03/24 03:30:00",5995.6,31.01109,PD
NSW1,"2016/03/24 04:00:00",6053.73,31.03005,PD
