REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2016/05/29 18:00:00",9799.38,236.24,TRADE
NSW1,"2016/05/29 18:30:00",9914.2,175.1,TRADE
NSW1,"2016/05/29 19:00:00",9810.15,110.6,TRADE
NSW1,"2016/05/29 19:30:00",9612.14,102.27,TRADE
NSW1,"2016/05/29 20:00:00",9395.09,111.3,TRADE
NSW1,"2016/05/29 20:30:00",9310.77,173.53,TRADE
NSW1,"2016/05/29 21:00:00",9097.95,97.94,TRADE
NSW1,"2016/05/29 21:30:00",8883.64,109.16,TRADE
NSW1,"2016/05/29 22:00:00",8621.5,59.37,TRADE
NSW1,"2016/05/29 22:30:00",8391.11,56.39,TRADE
NSW1,"2016/05/29 23:00:00",8061.82,68.09,TRADE
NSW1,"2016/05/29 23:30:00",7939.69,74.55,TRADE
NSW1,"2016/05/30 00:00:00",7722.73,66.05,TRADE
NSW1,"2016/05/30 00:30:00",7581.09,57.18,TRADE
NSW1,"2016/05/30 01:00:00",7346.07,34.6,TRADE
NSW1,"2016/05/30 01:30:00",7223.63,58.72,TRADE
NSW1,"2016/05/30 02:00:00",7041.79,53.8,TRADE
NSW1,"2016/05/30 02:30:00",6750.06,34.7,TRADE
NSW1,"2016/05/30 03:00:00",6532.17,30.78,TRADE
NSW1,"2016/05/30 03:30:00",6362.36,31.04,TRADE
NSW1,"2016/05/30 04:00:00",6317.23,30.81,TRADE
NSW1,"2016/05/30 04:30:00",6340.21,30.57,TRADE
NSW1,"2016/05/30 05:00:00",6482.72,31.93,TRADE
NSW1,"2016/05/30 05:30:00",6920.8,52.07,TRADE
NSW1,"2016/05/30 06:00:00",7394.22,60.77,TRADE
NSW1,"2016/05/30 06:30:00",8264.91,219.08,TRADE
NSW1,"2016/05/30 07:00:00",9125.81,296.8,TRADE
NSW1,"2016/05/30 07:30:00",9706.21,277.61,TRADE
NSW1,"2016/05/30 08:00:00",10177.76,282.2,TRADE
NSW1,"2016/05/30 08:30:00",10108.58,240.13,TRADE
NSW1,"2016/05/30 09:00:00",9834.98,87.77,TRADE
NSW1,"2016/05/30 09:30:00",9727.27,110.97,TRADE
NSW1,"2016/05/30 10:00:00",9554.27,77.39,TRADE
NSW1,"2016/05/30 10:30:00",9358.75,88.2,TRADE
NSW1,"2016/05/30 11:00:00",9090.94,62.65,TRADE
NSW1,"2016/05/30 11:30:00",8861.69,68.02,TRADE
NSW1,"2016/05/30 12:00:00",8659.02,76.94,TRADE
NSW1,"2016/05/30 12:30:00",8542.97,81.74,TRADE
NSW1,"2016/05/30 13:00:00",8492.81,90.13,TRADE
NSW1,"2016/05/30 13:30:00",8405.12,82.87,TRADE
NSW1,"2016/05/30 14:00:00",8371.52,98.87,TRADE
NSW1,"2016/05/30 14:30:00",8399.12,104.49,TRADE
NSW1,"2016/05/30 15:00:00",8382.03,101.47,TRADE
NSW1,"2016/05/30 15:30:00",8480.61,146.26,TRADE
NSW1,"2016/05/30 16:00:00",8670.89,262.09,TRADE
NSW1,"2016/05/30 16:30:00",9017.89,117.34,TRADE
NSW1,"2016/05/30 17:00:00",9484.68,226.08,TRADE
NSW1,"2016/05/30 17:30:00",10345.05,237.77,TRADE
NSW1,"2016/05/30 18:00:00",10900.35,299.8,PD
NSW1,"2016/05/30 18:30:00",10906.72,299.8,PD
NSW1,"2016/05/30 19:00:00",10753.82,103.654,PD
NSW1,"2016/05/30 19:30:00",10478.81,87.27601,PD
NSW1,"2016/05/30 20:00:00",10236.94,118.66994,PD
NSW1,"2016/05/30 20:30:00",10011.96,299.8,PD
NSW1,"2016/05/30 21:00:00",9781.27,299.8,PD
NSW1,"2016/05/30 21:30:00",9456.49,299.8,PD
NSW1,"2016/05/30 22:00:00",9101.37,82.07705,PD
NSW1,"2016/05/30 22:30:00",8978.29,299.8,PD
NSW1,"2016/05/30 23:00:00",8693.45,299.8,PD
NSW1,"2016/05/30 23:30:00",8504.3,281.81,PD
NSW1,"2016/05/31 00:00:00",8365.47,281.81,PD
NSW1,"2016/05/31 00:30:00",8199.92,281.81,PD
NSW1,"2016/05/31 01:00:00",8004,135.70205,PD
